player_name,position,jersey_number,line,pp_unit,team,source
Artemi Panarin,F,10,2,PP1,NYR,dailyfaceoff
Vincent Trocheck,F,16,2,PP2,NYR,dailyfaceoff
Alexis Lafrenière,F,13,2,PP1,NYR,dailyfaceoff
Brett Berard,F,65,3,PP2,NYR,dailyfaceoff
Juuso Parssinen,F,71,3,,NYR,dailyfaceoff
Taylor Raddysh,F,14,3,PP2,NYR,dailyfaceoff
Adam Edstrom,F,84,4,,NYR,dailyfaceoff
Sam Carrick,F,39,4,,NYR,dailyfaceoff
Matt Rempe,F,73,4,,NYR,dailyfaceoff
Vladislav Gavrikov,D,44,1,,NYR,dailyfaceoff
Adam Fox,D,23,1,PP1,NYR,dailyfaceoff
Carson Soucy,D,24,2,,NYR,dailyfaceoff
Will Borgen,D,17,2,,NYR,dailyfaceoff
Urho Vaakanainen,D,18,3,,NYR,dailyfaceoff
Braden Schneider,D,4,3,PP2,NYR,dailyfaceoff
Brady Tkachuk,F,7,1,PP1,OTT,dailyfaceoff
Tim Stützle,F,18,1,PP1,OTT,dailyfaceoff
Claude Giroux,F,28,1,PP2,OTT,dailyfaceoff
David Perron,F,57,2,PP2,OTT,dailyfaceoff
Dylan Cozens,F,24,2,PP1,OTT,dailyfaceoff
Fabian Zetterlund,F,20,2,PP2,OTT,dailyfaceoff
Ridly Greig,F,71,3,PP2,OTT,dailyfaceoff
Shane Pinto,F,12,3,PP1,OTT,dailyfaceoff
Michael Amadio,F,22,3,,OTT,dailyfaceoff
Nick Cousins,F,21,4,,OTT,dailyfaceoff
Lars Eller,F,89,4,,OTT,dailyfaceoff
Zack MacEwen,F,17,4,,OTT,dailyfaceoff
Jake Sanderson,D,85,1,PP1,OTT,dailyfaceoff
Artem Zub,D,2,1,,OTT,dailyfaceoff
Thomas Chabot,D,72,2,PP2,OTT,dailyfaceoff
Nick Jensen,D,3,2,,OTT,dailyfaceoff
Jordan Spence,D,10,3,,OTT,dailyfaceoff
Carter Yakemchuk,D,2024,3,,OTT,dailyfaceoff
Owen Tippett,F,74,1,PP1,PHI,dailyfaceoff
Trevor Zegras,F,46,1,PP1,PHI,dailyfaceoff
Matvei Michkov,F,39,1,PP1,PHI,dailyfaceoff
Nikita Grebenkin,F,71,2,,PHI,dailyfaceoff
Sean Couturier,F,14,2,PP2,PHI,dailyfaceoff
Travis Konecny,F,11,2,PP1,PHI,dailyfaceoff
Tyson Foerster,F,71,3,PP2,PHI,dailyfaceoff
Noah Cates,F,27,3,,PHI,dailyfaceoff
Bobby Brink,F,10,3,PP2,PHI,dailyfaceoff
Nicolas Deslauriers,F,44,4,,PHI,dailyfaceoff
Christian Dvorak,F,22,4,,PHI,dailyfaceoff
Garnet Hathaway,F,19,4,,PHI,dailyfaceoff
Cam York,D,8,1,PP2,PHI,dailyfaceoff
Travis Sanheim,D,6,1,PP2,PHI,dailyfaceoff
Nick Seeler,D,24,2,,PHI,dailyfaceoff
Jamie Drysdale,D,9,2,PP1,PHI,dailyfaceoff
Adam Ginning,D,,3,,PHI,dailyfaceoff
