player_name,position,jersey_number,line,team,source,pp_unit
Walker,F,26,4,STL,puckpedia,
Fowler,D,17,1,STL,puckpedia,PP1
Broberg,D,6,2,STL,puckpedia,
Tucker,D,75,3,STL,puckpedia,
Parayko,D,55,1,STL,puckpedia,
Faulk,D,72,2,STL,puckpedia,PP2
Mailloux,D,23,3,STL,puckpedia,
Guentzel,F,59,1,TBL,puckpedia,PP1
Hagel,F,38,2,TBL,puckpedia,PP1
Bjorkstrand,F,22,3,TBL,puckpedia,PP2
Girgensons,F,28,4,TBL,puckpedia,
Point,F,21,1,TBL,puckpedia,PP1
Cirelli,F,71,2,TBL,puckpedia,PP2
Gourde,F,37,3,TBL,puckpedia,PP2
Finley,F,62,4,TBL,puckpedia,
Kucherov,F,86,1,TBL,puckpedia,PP1
Goncalves,F,93,2,TBL,puckpedia,PP2
Chaffee,F,41,3,TBL,puckpedia,
Geekie,F,14,4,TBL,puckpedia,
Hedman,D,77,1,TBL,puckpedia,PP1
McDonagh,D,27,2,TBL,puckpedia,
Lilleberg,D,78,3,TBL,puckpedia,
Moser,D,90,1,TBL,puckpedia,
Cernak,D,81,2,TBL,puckpedia,
Raddysh,D,43,3,TBL,puckpedia,PP2
Knies,F,23,1,TOR,puckpedia,PP1
McMann,F,74,2,TOR,puckpedia,PP2
Joshua,F,81,3,TOR,puckpedia,
Lorentz,F,18,4,TOR,puckpedia,
Matthews,F,34,1,TOR,puckpedia,PP1
Tavares,F,91,2,TOR,puckpedia,PP1
Roy,F,55,3,TOR,puckpedia,PP2
Cowan,F,53,4,TOR,puckpedia,
Domi,F,11,1,TOR,puckpedia,PP2
Nylander,F,88,2,TOR,puckpedia,PP1
Maccelli,F,63,3,TOR,puckpedia,PP2
Robertson,F,89,4,TOR,puckpedia,
McCabe,D,22,1,TOR,puckpedia,
Rielly,D,44,2,TOR,puckpedia,PP1
Benoit,D,2,3,TOR,puckpedia,
Tanev,D,8,1,TOR,puckpedia,
Carlo,D,25,2,TOR,puckpedia,
Ekman-Larsson,D,95,3,TOR,puckpedia,PP2
Guenther,F,11,1,UTA,puckpedia,PP1
Keller,F,9,2,UTA,puckpedia,PP1
Crouse,F,67,3,UTA,puckpedia,PP2
O'Brien,F,38,4,UTA,puckpedia,
Cooley,F,92,1,UTA,puckpedia,PP2
Hayton,F,27,2,UTA,puckpedia,PP2
McBain,F,22,3,UTA,puckpedia,PP2
Stenlund,F,82,4,UTA,puckpedia,
Peterka,F,77,1,UTA,puckpedia,PP1
Schmaltz,F,8,2,UTA,puckpedia,PP1
Carcone,F,53,3,UTA,puckpedia,
Tanev,F,13,4,UTA,puckpedia,
Sergachev,D,98,1,UTA,puckpedia,PP1
Cole,D,28,2,UTA,puckpedia,
Maatta,D,2,3,UTA,puckpedia,
Marino,D,6,1,UTA,puckpedia,
Durzi,D,50,2,UTA,puckpedia,PP2
Schmidt,D,88,3,UTA,puckpedia,
DeBrusk,F,74,1,VAN,puckpedia,PP1
Bains,F,13,2,VAN,puckpedia,
Kane,F,91,3,VAN,puckpedia,PP2
O'Connor,F,18,4,VAN,puckpedia,
Pettersson,F,40,1,VAN,puckpedia,PP1
Chytil,F,72,2,VAN,puckpedia,PP2
Cootes,F,80,3,VAN,puckpedia,
Blueger,F,53,4,VAN,puckpedia,
Boeser,F,6,1,VAN,puckpedia,PP1
Garland,F,8,2,VAN,puckpedia,PP1
Sherwood,F,44,3,VAN,puckpedia,PP2
Lekkerimaki,F,23,4,VAN,puckpedia,PP2
Hughes,D,43,1,VAN,puckpedia,PP1
Pettersson,D,29,2,VAN,puckpedia,PP1
Pettersson,D,25,3,VAN,puckpedia,PP1
Hronek,D,17,1,VAN,puckpedia,PP2
Myers,D,57,2,VAN,puckpedia,
Forbort,D,27,3,VAN,puckpedia,
Barbashev,F,49,1,VGK,puckpedia,PP2
Smith,F,19,2,VGK,puckpedia,PP2
Saad,F,20,3,VGK,puckpedia,
Howden,F,21,4,VGK,puckpedia,
Eichel,F,9,1,VGK,puckpedia,PP1
Karlsson,F,71,2,VGK,puckpedia,PP2
Hertl,F,48,3,VGK,puckpedia,PP1
Sissons,F,10,4,VGK,puckpedia,
Marner,F,93,1,VGK,puckpedia,PP1
Stone,F,61,2,VGK,puckpedia,PP1
Dorofeyev,F,16,3,VGK,puckpedia,PP2
Kolesar,F,55,4,VGK,puckpedia,
McNabb,D,3,1,VGK,puckpedia,
Hanifin,D,15,2,VGK,puckpedia,PP2
Lauzon,D,5,3,VGK,puckpedia,
Theodore,D,27,1,VGK,puckpedia,PP1
Whitecloud,D,2,2,VGK,puckpedia,
Korczak,D,6,3,VGK,puckpedia,
